ability_id,battle_status,effect,effect_jp
1,out,"From Emerald onwards, if the Pokémon with Stench is leading the party, then Stench reduces the chances of encountering wild Pokémon by 50%. In Battle Pyramid, the chances are decreased by 75%.","手持ちの先頭にいると野生ポケモンが出現する確率が0.5倍になる。(エメラルドのバトルピラミッドでは0.75倍)"
1,in,"Starting in Generation V, Stench has a 10% chance of flinching the opponent when hit by a damaging move. Unlike moves that can cause flinching, Stench does not stack with {{item|King's Rock}} or {{item|Razor Fang}}. ","第五世代から、このとくせいを持つポケモンに攻撃した時に、10%の確率でひるむ。"
2,in,"Drizzle will summon rain in battle. It lasts for the whole battle until replaced. ","天気をあめが ふりつづいている状態にする。"
3,in,"Speed Boost raises the user's Speed stat by one stage, at the end of each turn in battle. ","毎ターンすばやさが1段階上がる。"
4,in,"Battle Armor prevents the opponent from landing a critical hit.","相手の攻撃が急所に当たらない。"
5,in,"**Generations III and IV**Sturdy negates one-hit knockout moves. However, this does not protect against Pokémon with the {{ability|Mold Breaker}} ability.**Generation V**Sturdy works like a {{item|Focus Sash}}, causing the Pokémon to have 1 HP remaining if an attack's hit would have brought it from full health to 0 HP. This ability can be used again if the user is brought back to full HP.Multi-hit, swipe moves can break through Sturdy, like the Focus Sash. When a swipe move hits a Pokémon with Sturdy, Sturdy's effect activates for only the move's first hit, not the entire move.Fixed-damage moves such as Dragon Rage also ignore Sturdy. ","**第三世代・第四世代**一撃必殺技が効かない。(特性かたやぶりのポケモンが使う一撃必殺技は防ぐことは出来ない。)
**第五世代**上記に加え、HPが満タンのとき一撃でひんしになるダメージを受けても、HPを1残して持ちこたえる。(相手の特性かたやぶりで無効にされる。)"
6,in,"Damp prevents self-destruction. Therefore, the moves {{move|Selfdestruct}} and {{move|Explosion}} cannot be used. Also, the ability {{ability|Aftermath}} will not activate. If {{move|Selfdestruct}} or {{move|Explosion}} are selected, the attack will be rendered useless upon execution and nothing will happen. ","味方も相手もじばく、だいばくはつが使用できなくなる。ゆうばくによるダメージも無効になる。"
7,in,"Limber prevents paralysis. If a Pokémon is paralyzed and gains this ability through {{move|Transform}}, {{move|Role Play}} or {{move|Trace}}, then the paralysis will be removed. If this ability is then lost, the Pokémon will be paralyzed again. ","まひ状態にならない。"
8,in,"Sand Veil increases the evasion of a Pokémon by 20% in a sandstorm and if on a Pokémon whose type does not already, grants immunity to damage taken from sandstorms.","天気がすなあらしが ふきあれる状態のときに回避率が1.25倍になる。
また、タイプによらずすなあらしが すなあらしのダメージを受けなくなる。"
8,out,"From Pokémon Emerald onwards, if the Pokémon with Sand Veil is leading the party in an area with a sandstorm, such as Route 228 in Sinnoh, Sand Veil decreases the wild Pokémon encounter rate by 50%.","エメラルド以降ではさばくであればポケモンの出現率が0.5倍になる。"
9,in,"When Pokémon with this ability are hit by a move that makes contact, there is a 30% chance that the attacking foe will become paralyzed. This can affect Ground-type Pokémon.","直接攻撃を受けたとき、30%の確率で相手をまひ状態にする。"
9,out,"From Pokémon Emerald  onward, having a Pokémon with this ability at the front of the player's party also increases the chances of finding Electric-type Pokémon in the area by 50%.","エメラルド以降は、この特性のポケモンが先頭にいると、でんきタイプのポケモンが出やすくなる。"
10,in,"Volt Absorb heals one quarter of the user's maximum HP when hit with an Electric-type attack. Therefore, the user does not take damage from Electric-type moves. In Generation III, Thunder Wave can paralyze a Pokémon with Volt Absorb without triggering the effect.","でんきタイプのわざのダメージを無効にし、HPを25%回復する。"
11,in,"Water Absorb heals one quarter of the user's maximum HP when hit with a Water-type attack. Therefore, the user does not take damage from Water-type moves.","みずタイプのわざのダメージを無効にし、HPを25%回復する。"
12,in,"Oblivious prevents attraction. {{move|Captivate}} also fails against a Pokémon with Oblivious. ","メロメロ状態にならない。
ゆうわくを使われてもとくこうが下がらない。"
13,in,"Cloud Nine prevents all weather effects.","天気変化の効果を無効化する。"
14,in,"Compoundeyes raises accuracy by 30% in battles.","自分の命中率が1.3倍される。"
14,out,"From Pokémon Emerald onwards, if the Pokémon with the ability leads the party, even if it has fainted, the chance of finding a Pokémon in the wild holding an item increases by 50%.","エメラルド以降では、この特性のポケモンが先頭にいると、道具を持ったポケモンが出やすくなる。(5%→20%、50%→60%)"
15,in,"Insomnia prevents Sleep. The move Worry Seed can change the target Pokémon's ability to Insomnia. If a Pokémon with Insomnia uses Rest, it will automatically fail.","ねむり状態にならない。"
