move_id,generation_id,flavor_text,flavor_text_jp
1,2,"Pounds with forelegs or tail.",""
1,3,"Pounds the foe with forelegs or tail.",""
1,4,"The foe is physically pounded with a long tail or a foreleg, etc.","ながい しっぽや てなどを つかって あいてを はたいて こうげきする。"
1,5,"The target is physically pounded with a long tail or a foreleg, etc.","ながい しっぽや てなどを つかって あいてを はたいて こうげきする。"
2,2,"Has a high critical hit ratio.",""
2,3,"A chopping attack with a high critical-hit ratio.",""
2,4,"The foe is attacked with a sharp chop. It has a high critical-hit ratio.","するどい チョップで あいてを たたいて こうげきする。きゅうしょに あたる かくりつが たかい。"
2,5,"The target is attacked with a sharp chop. Critical hits land more easily.","するどい チョップで あいてを たたいて こうげきする。きゅうしょに あたる かくりつが たかい。"
3,2,"Repeatedly slaps 2-5 times.",""
3,3,"Repeatedly slaps the foe 2 to 5 times.",""
3,4,"The foe is slapped repeatedly, back and forth, two to five times in a row.","おうふく ビンタで あいてを たたいて こうげきする。2-5かい れんぞくで ダメージを あたえる。"
3,5,"The target is slapped repeatedly, back and forth, two to five times in a row.","おうふく ビンタで あいてを たたいて こうげきする。2-5かい れんぞくで ダメージを あたえる。"
4,2,"Repeatedly punches 2-5 times.",""
4,3,"Repeatedly punches the foe 2 to 5 times.",""
4,4,"The foe is hit with a flurry of punches that strike two to five times in a row.","どとうの パンチで あいてを なぐりつけて こうげきする。2-5かい れんぞくで ダメージを あたえる。"
4,5,"The target is hit with a flurry of punches that strike two to five times in a row.","どとうの パンチで あいてを なぐりつけて こうげきする。2-5かい れんぞくで ダメージを あたえる。"
5,2,"A powerful punch thrown very hard.",""
5,3,"A strong punch thrown with incredible power.",""
5,4,"The foe is slugged by a punch thrown with muscle-packed power.","ちからを こめた パンチを くりだして あいてを なぐりつけて こうげきする。"
5,5,"The target is slugged by a punch thrown with muscle-packed power.","ちからを こめた パンチを くりだして あいてを なぐりつけて こうげきする。"
6,2,"Throws coins. Gets them back later.",""
6,3,"Throws coins at the foe. Money is recovered after.",""
6,4,"Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.","こばんを たくさん あいてに なげつけて こうげきする。せんとうの あとで おかねが てにはいる。"
6,5,"Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.","こばんを たくさん あいてに なげつけて こうげきする。せんとうの あとで おかねが てにはいる。"
7,2,"A fiery punch. May cause a burn.",""
7,3,"A fiery punch that may burn the foe.",""
7,4,"The foe is punched with a fiery fist. It may leave the target with a burn.","ほのおを こめた パンチで あいてを こうげきする。やけど じょうたいに することが ある。"
7,5,"The target is punched with a fiery fist. It may also leave the target with a burn.","ほのおを こめた パンチで あいてを こうげきする。やけど じょうたいに することが ある。"
8,2,"An icy punch. May cause freezing.",""
8,3,"An icy punch that may freeze the foe.",""
8,4,"The foe is punched with an icy fist. It may leave the target frozen.","れいきを こめた パンチで あいてを こうげきする。こおり じょうたいに することが ある。"
8,5,"The target is punched with an icy fist. It may also leave the target frozen.","れいきを こめた パンチで あいてを こうげきする。こおり じょうたいに することが ある。"
9,2,"An electric punch. It may paralyze.",""
9,3,"An electrified punch that may paralyze the foe.",""
9,4,"The foe is punched with an electrified fist. It may leave the target with paralysis.","でんげきを こめた パンチで あいてを こうげきする。まひ じょうたいに することが ある。"
9,5,"The target is punched with an electrified fist. It may also leave the target with paralysis.","でんげきを こめた パンチで あいてを こうげきする。まひ じょうたいに することが ある。"
10,2,"Scratches with sharp claws.",""
10,3,"Scratches the foe with sharp claws.",""
10,4,"Hard, pointed, and sharp claws rake the foe to inflict damage.","かたくて とがった するどい ツメで あいてを ひっかいて こうげきする。"
10,5,"Hard, pointed, and sharp claws rake the target to inflict damage.","かたくて とがった するどい ツメで あいてを ひっかいて こうげきする。"
11,2,"Grips with powerful pincers.",""
11,3,"Grips the foe with large and powerful pincers.",""
11,4,"Huge, impressive pincers grip and squeeze the foe.","おおきくて りっぱな ハサミを つかって あいてを はさんで こうげきする。"
11,5,"The target is gripped and squeezed from both sides to inflict damage.","おおきくて りっぱな ハサミを つかって あいてを はさんで こうげきする。"
12,2,"A one-hit KO, pincer attack.",""
12,3,"A powerful pincer attack that may cause fainting.",""
12,4,"A vicious, tearing attack with pincers. The foe will faint instantly if this attack hits.","おおきな ハサミで あいてを きりさいて こうげきする。あたれば いちげきで あいては たおれる。"
12,5,"A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits.","おおきな ハサミで あいてを きりさいて こうげきする。あたれば いちげきで あいては たおれる。"
13,2,"1st turn: Prepare 2nd turn: Attack",""
13,3,"A 2-turn move that strikes the foe on the 2nd turn.",""
13,4,"A two-turn attack. Blades of wind hit the foe on the second turn. It has a high critical-hit ratio.","つくりだした かぜの やいばで 2ターンめに こうげきする。きゅうしょに あたる かくりつが たかい。"
13,5,"A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.","つくりだした かぜの やいばで 2ターンめに こうげきする。きゅうしょに あたる かくりつが たかい。"
14,2,"A dance that increases ATTACK.",""
14,3,"A fighting dance that sharply raises ATTACK.",""
14,4,"A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat.","たたかいの おどりを はげしく おどって きあいを たかめ じぶんの こうげきを グーンと あげる。"
