id,identifier,name,name_phonetic,species,name_jp,name_jp_romaji,species_jp,generation_id,ndex,kdex,jdex,jdex_old,hdex,sdex,udex,type1_id,type2_id,ability1_id,ability2_id,abilitydream_id,evolution_parent_pokemon_id,evolution_method_id,evolution_parameter,height,weight,gender_rate,catch_rate,exp_yield,base_happiness,egg_group1_id,egg_group2_id,is_baby,baby_breed_item_id,hatch_counter,lvl_100_exp,pokemon_order,legacy_id
1,bulbasaur,Bulbasaur,Bulbasaur,Seed,"フシギダネ",Fushigidane,"たね",1,1,1,231,226,"","","",12,4,65,"",34,"","","",7,69,1,45,64,70,1,7,0,"",20,1059860,1,1
2,ivysaur,Ivysaur,Ivysaur,Seed,"フシギソウ",Fushigisou,"たね",1,2,2,232,227,"","","",12,4,65,"",34,1,1,16,10,130,1,45,141,70,1,7,0,"",20,1059860,2,2
3,venusaur,Venusaur,Veenasore,Seed,"フシギバナ",Fushigibana,"たね",1,3,3,233,228,"","","",12,4,65,"",34,2,1,32,20,1000,1,45,208,70,1,7,0,"",20,1059860,3,3
4,charmander,Charmander,Char-mander,Lizard,"ヒトカゲ",Hitokage,"とかげ",1,4,4,234,229,"","","",10,"",66,"",94,"","","",6,85,1,45,65,70,1,14,0,"",20,1059860,4,4
5,charmeleon,Charmeleon,Char-meeleon,Flame,"リザード",Lizardo,"かえん",1,5,5,235,230,"","","",10,"",66,"",94,4,1,16,11,190,1,45,142,70,1,14,0,"",20,1059860,5,5
6,charizard,Charizard,Char-izahd,Flame,"リザードン",Lizardon,"かえん",1,6,6,236,231,"","","",10,3,66,"",94,5,1,36,17,905,1,45,209,70,1,14,0,"",20,1059860,6,6
7,squirtle,Squirtle,Squirtle,"Tiny Turtle","ゼニガメ",Zenigame,"かめのこ",1,7,7,237,232,"","","",11,"",67,"",44,"","","",5,90,1,45,66,70,1,2,0,"",20,1059860,7,7
8,wartortle,Wartortle,Wore-torrtle,Turtle,"カメール",Kameil,"かめ",1,8,8,238,233,"","","",11,"",67,"",44,7,1,16,10,225,1,45,143,70,1,2,0,"",20,1059860,8,8
9,blastoise,Blastoise,Blas-toys,Shellfish,"カメックス",Kamex,"こうら",1,9,9,239,234,"","","",11,"",67,"",44,8,1,36,16,855,1,45,210,70,1,2,0,"",20,1059860,9,9
10,caterpie,Caterpie,Caterpie,Worm,"キャタピー",Caterpie,"いもむし",1,10,10,24,24,"","","",7,"",19,"",50,"","","",3,29,4,255,53,70,3,"",0,"",15,1000000,10,10
11,metapod,Metapod,Metapod,Cocoon,"トランセル",Trancell,"さなぎ",1,11,11,25,25,"","","",7,"",61,"","",10,1,7,7,99,4,120,72,70,3,"",0,"",15,1000000,11,11
12,butterfree,Butterfree,Butterfree,Butterfly,"バタフリー",Butterfree,"ちょうちょ",1,12,12,26,26,"","","",7,3,14,"",110,11,1,10,11,320,4,45,160,70,3,"",0,"",15,1000000,12,12
13,weedle,Weedle,Weedle,"Hairy Bug","ビードル",Beedle,"けむし",1,13,13,27,27,"","","",7,4,19,"",50,"","","",3,32,4,255,52,70,3,"",0,"",15,1000000,13,13
