id,flavor_text,flavor_text_jp
1,"A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.","うまれたときから　せなかに　ふしぎな　タネが　うえてあって　からだと　ともに　そだつという。"
2,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.","なんにちだって　なにも　たべなくても　げんき！　せなかのタネに　たくさん　えいようが　あるから　へいきだ！"
3,"The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","せなかの　たねの　なかには　えいようが　たっぷり。たねは　からだと　いっしょに　おおきくなる。"
4,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger.","うまれたときから　せなかにたねを　せおっている　からだが　おおきくそだつごとに　おおきくなる。"
5,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.","うまれて  しばらくの  あいだ  せなかの  タネに  つまった えいようをとって そだつ。"
6,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.","ひなたで　ひるねを　する　すがたを　みかける。たいようの　ひかりを　いっぱい　あびることで　せなかの　タネが　おおきく　そだつのだ。"
7,"There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.","うまれたときから　せなかに　しょくぶつの　タネが　あって　すこしずつ　おおきく　そだつ。"
8,"For some time after its birth, it grows by gaining nourishment from the seed on its back.","うまれてから　しばらくの　あいだは　せなかの　たねから　えいようを　もらって　おおきく　そだつ。"
9,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","せなかの　つぼみが　おおきく　そだってくると　2ほんあしで　たつことが　できなくなるらしい。"
10,"The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.","ようぶんを　とって　おおきくなった　つぼみから　かおりが　ただよいだすと　もうすぐ　ハナがひらく　しょうこだ。"
11,"Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.","たいようの　ひかりを　あびるほど　からだに　ちからが　わいて　せなかの　つぼみが　そだっていく。"
12,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.","せなかの　つぼみから　あまいかおりが　ただよいはじめたのは　もうすぐ　おおきなハナが　ひらく　しょうこだ。"
13,"The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","せなかの　つぼみは　ようぶんを　きゅうしゅう　して　ふくらむ。はなのさくころ　いいにおいが　する。"
14,"There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.","つぼみを　ささえるため　あしこしが　つよくなる。ひなたで　じっとする　じかんが　ながくなれば　いよいよ　たいりんの　はなが　さくころだ。"
15,"To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.","つぼみを　ささえるため　あしこしが　つよくなる。ひなたで　じっとする　じかんが　ながくなれば　いよいよ　たいりんの　はなが　さくころだ。"
16,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.","つぼみが　せなかに　ついていて　ようぶんを　きゅうしゅうしていくと　おおきな　はなが　さくという。"
17,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","せなかの つぼみが ふくらみだすと あまい においが ただよいはじめる。たいりんの はなが さく まえぶれ。"
18,"Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.","たいようの　ひかりを　あびるほど　からだに　ちからが　わいて　せなかの　つぼみが　そだっていく。"
19,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.","せなかの つぼみが ふくらみだすと あまい においが ただよいはじめる。たいりんの はなが さく まえぶれ。"
20,"The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.","たいようエネルギーを　えいようにして　おおきなハナが　ひらく。ひなたに　ひきよせられるように　いどうする。"
21,"The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy.","せなかに　はえた　おおきな　ハナは　たいようの　ひかりを　きゅうしゅうし　エネルギーに　へんかん　できる。"
22,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","おおきな　はなびらを　ひろげ　たいようの　ひかりを　あびていると　からだに　げんきが　みなぎっていく。"
23,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.","あびた　たいようの　ひかりを　エネルギーに　へんかんできるので　なつの　ほうが　つよくなる。"
24,"As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance.","たいようの　ひかりをあびて　からだが　あたたまってくると　はなびら　から　ここちよくなる　かおりが　ただよう。"
25,"There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.","じゅうぶんな　えいようと　たいようの　ひかりが　はなの　いろを　あざやかに　すると　いわれる。はなの　かおりは　ひとの　こころを　いやす。"
26,"VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.","じゅうぶんな　えいようと　たいようの　ひかりが　はなの　いろを　あざやかに　すると　いわれる。はなの　かおりは　ひとの　こころを　いやす。"
27,"A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.","はなから　うっとりする　かおりが　ただよい　たたかうものの　きもちを　なだめてしまう。"
