id,pokemon_id,generation_id,exclusive_version_group_id,move_id,move_method_id,level,move_order
1,1,1,"",14,4,"",""
2,1,1,"",15,4,"",""
3,1,1,"",22,1,13,""
4,1,1,"",33,1,1,1
5,1,1,"",34,4,"",""
6,1,1,"",36,4,"",""
7,1,1,"",38,4,"",""
8,1,1,"",45,1,1,2
9,1,1,"",72,4,"",""
10,1,1,"",73,1,7,""
11,1,1,"",74,1,34,""
12,1,1,"",75,1,27,""
13,1,1,"",76,1,48,""
14,1,1,"",76,4,"",""
15,1,1,"",77,1,20,""
16,1,1,"",79,1,41,""
17,1,1,"",92,4,"",""
18,1,1,"",99,4,"",""
19,1,1,"",102,4,"",""
20,1,1,"",104,4,"",""
21,1,1,"",115,4,"",""
22,1,1,"",117,4,"",""
23,1,1,"",156,4,"",""
24,1,1,"",164,4,"",""
25,1,2,"",13,2,"",""
26,1,2,"",15,4,"",""
27,1,2,"",22,1,10,""
28,1,2,"",29,4,"",""
29,1,2,"",33,1,1,""
30,1,2,"",45,1,4,""
31,1,2,"",73,1,7,""
32,1,2,"",74,1,32,""
33,1,2,"",75,1,20,""
34,1,2,"",76,1,46,""
35,1,2,"",76,4,"",""
36,1,2,"",77,1,15,1
37,1,2,"",79,1,15,2
38,1,2,"",80,2,"",""
39,1,2,"",92,4,"",""
40,1,2,"",104,4,"",""
41,1,2,"",111,4,"",""
42,1,2,"",113,2,"",""
43,1,2,"",130,2,"",""
44,1,2,"",148,4,"",""
45,1,2,"",156,4,"",""
46,1,2,"",173,4,"",""
47,1,2,"",174,4,"",""
48,1,2,"",182,4,"",""
49,1,2,"",189,4,"",""
50,1,2,"",202,4,"",""
51,1,2,"",203,4,"",""
52,1,2,3,204,2,"",""
53,1,2,"",207,4,"",""
54,1,2,"",210,4,"",""
55,1,2,"",213,4,"",""
56,1,2,"",214,4,"",""
57,1,2,"",216,4,"",""
58,1,2,"",218,4,"",""
59,1,2,"",219,2,"",""
60,1,2,"",230,1,25,""
61,1,2,"",230,4,"",""
62,1,2,"",235,1,39,""
63,1,2,"",237,4,"",""
64,1,2,"",241,4,"",""
65,1,3,"",15,4,"",""
66,1,3,"",22,1,10,""
67,1,3,"",33,1,1,""
68,1,3,"",45,1,4,""
69,1,3,"",70,4,"",""
70,1,3,"",73,1,7,""
71,1,3,"",74,1,32,""
72,1,3,"",75,1,20,""
73,1,3,"",76,1,46,""
74,1,3,"",76,4,"",""
75,1,3,"",77,1,15,1
76,1,3,"",79,1,15,2
77,1,3,"",80,2,"",""
78,1,3,"",92,4,"",""
79,1,3,"",104,4,"",""
80,1,3,"",113,2,"",""
81,1,3,"",130,2,"",""
82,1,3,"",148,4,"",""
83,1,3,"",156,4,"",""
84,1,3,"",174,2,"",""
85,1,3,"",182,4,"",""
86,1,3,"",188,4,"",""
87,1,3,"",202,4,"",""
88,1,3,"",204,2,"",""
89,1,3,"",213,4,"",""
90,1,3,"",216,4,"",""
91,1,3,"",218,4,"",""
92,1,3,"",219,2,"",""
93,1,3,"",230,1,25,""
94,1,3,"",235,1,39,""
95,1,3,"",237,4,"",""
96,1,3,"",241,4,"",""
97,1,3,"",249,4,"",""
98,1,3,"",263,4,"",""
99,1,3,"",290,4,"",""
100,1,3,"",320,2,"",""
101,1,3,"",331,4,"",""
102,1,3,"",345,2,"",""
103,1,3,6,14,3,"",""
104,1,3,6,34,3,"",""
105,1,3,6,38,3,"",""
106,1,3,6,102,3,"",""
107,1,3,6,111,3,"",""
108,1,3,6,164,3,"",""
109,1,3,6,173,3,"",""
110,1,3,6,189,3,"",""
111,1,3,6,203,3,"",""
112,1,3,6,207,3,"",""
113,1,3,6,210,3,"",""
114,1,3,6,214,3,"",""
115,1,3,7,14,3,"",""
116,1,3,7,34,3,"",""
